Date/Time,Word Count,en,ru
2026.07.16-23.23.34,0,0,0
2026.07.16-23.34.19,4200,0,4200
2026.07.16-23.37.54,0,0,0
2026.07.16-23.38.47,1725,0,1725
2026.07.20-12.19.03,1581,0,1581
2026.07.20-12.26.17,1581,1579,1581
2026.07.23-12.09.30,1419,252,1419
2026.07.23-12.48.45,1419,1419,1419
2026.07.23-13.56.26,1419,0,1419
2026.07.23-13.57.13,3000,0,3000
2026.07.23-13.57.38,1581,0,1581
2026.07.23-14.10.04,1581,1579,1581
2026.07.25-01.05.35,1282,222,1282
2026.07.25-01.19.29,1282,1282,1282
2026.09.03-16.16.18,1285,1036,1285
2026.09.03-16.23.08,1285,1285,1285
2026.09.03-16.26.42,1288,1285,1288
2026.09.03-16.27.59,1285,1285,1285
2026.09.03-16.28.44,1288,1285,1288
